# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
1.30240e+03	3.83083e-02	2.91607e-04	0.29695	4.56064	2.31300e-05
1.32244e+03	3.83086e-02	8.83648e-05	4.64210	3.05560	2.31300e-05
1.34247e+03	3.83215e-02	1.82078e-04	2.50285	1.64238	2.31300e-05
1.36251e+03	3.83436e-02	4.15389e-04	0.28262	0.36686	2.31300e-05
1.38255e+03	3.83391e-02	2.18461e-04	3.40323	0.30818	2.31300e-05
1.40258e+03	3.83642e-02	3.22953e-04	5.81675	1.40692	2.31300e-05
1.42262e+03	3.83681e-02	2.70345e-04	5.25085	6.10445	2.31300e-05
1.44266e+03	3.83680e-02	2.22979e-04	3.67969	0.03946	2.31300e-05
1.46269e+03	3.83869e-02	2.76492e-04	0.55474	2.79671	2.31300e-05
1.48273e+03	3.83943e-02	1.15141e-04	0.57521	3.52317	2.31300e-05
1.50277e+03	3.84173e-02	5.29730e-04	0.16369	5.97790	2.31300e-05
1.52281e+03	3.84285e-02	3.79869e-04	0.18344	3.17955	2.31300e-05
1.54284e+03	3.84211e-02	2.16820e-04	1.73471	0.46574	2.31300e-05
1.56288e+03	3.84345e-02	1.94269e-04	6.01939	3.07658	2.31300e-05
1.58292e+03	3.84429e-02	2.71358e-04	5.91725	5.72563	2.31300e-05
1.60295e+03	3.84403e-02	2.55164e-04	2.87489	0.79919	2.31300e-05
1.62299e+03	3.84521e-02	1.99138e-04	2.50811	1.68539	2.31300e-05
1.64303e+03	3.84646e-02	1.67454e-04	5.93973	1.12285	2.31300e-05
1.66306e+03	3.84842e-02	3.21923e-04	5.85510	0.28220	2.31300e-05
1.68310e+03	3.84976e-02	4.73461e-04	6.12316	1.70497	2.31300e-05
1.70314e+03	3.85000e-02	1.74321e-04	5.70005	0.30300	2.31300e-05
1.72317e+03	3.85082e-02	1.99315e-04	0.75053	0.00596	2.31300e-05
1.74321e+03	3.85182e-02	1.89284e-04	5.71039	5.37927	2.31300e-05
1.76325e+03	3.85163e-02	1.68983e-04	0.51819	5.19221	2.31300e-05
1.78328e+03	3.85251e-02	1.19016e-04	5.45471	4.41100	2.31300e-05
1.80332e+03	3.85476e-02	4.32635e-04	5.99044	5.11931	2.31300e-05
1.82336e+03	3.85432e-02	1.89310e-04	0.21173	3.08349	2.31300e-05
1.84340e+03	3.85437e-02	1.85057e-04	1.95659	3.39368	2.31300e-05
1.86343e+03	3.85676e-02	3.81808e-04	5.62020	5.49729	2.31300e-05
1.88347e+03	3.85603e-02	2.03649e-04	2.50954	5.64018	2.31300e-05
1.90351e+03	3.85904e-02	4.24924e-04	0.20498	2.63009	2.31300e-05
1.92354e+03	3.85860e-02	2.54349e-04	0.28653	1.27747	2.31300e-05
1.94358e+03	3.85948e-02	2.48464e-04	5.91530	4.83349	2.31300e-05
1.96362e+03	3.85886e-02	1.67660e-04	4.00232	1.27958	2.31300e-05
1.98365e+03	3.86190e-02	4.68589e-04	6.00867	4.44275	2.31300e-05
2.00369e+03	3.86249e-02	4.16440e-04	0.18870	1.03687	2.31300e-05
