# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
1.50277e+03	2.81502e-02	1.01309e-03	4.41077	3.16344	1.26440e-05
1.52281e+03	2.81664e-02	1.25051e-03	5.32273	3.88820	1.26440e-05
1.54284e+03	2.81566e-02	1.05679e-03	1.79915	3.06089	1.26440e-05
1.56288e+03	2.81638e-02	1.25623e-03	0.42146	0.43175	1.26440e-05
1.58292e+03	2.81630e-02	1.25488e-03	0.53445	3.03662	1.26440e-05
1.60295e+03	2.81622e-02	9.91558e-04	2.82679	3.89570	1.26440e-05
1.62299e+03	2.81652e-02	1.01206e-03	5.90103	4.48534	1.26440e-05
1.64303e+03	2.81625e-02	1.13237e-03	4.33548	4.00219	1.26440e-05
1.66306e+03	2.81643e-02	9.94557e-04	2.20543	4.70174	1.26440e-05
1.68310e+03	2.81690e-02	1.00849e-03	1.07865	5.06888	1.26440e-05
1.70314e+03	2.81783e-02	1.17764e-03	0.53777	5.59187	1.26440e-05
1.72317e+03	2.81781e-02	1.11521e-03	5.59952	1.24386	1.26440e-05
1.74321e+03	2.81687e-02	1.14746e-03	4.35599	4.00834	1.26440e-05
1.76325e+03	2.81698e-02	1.06431e-03	2.16316	2.30447	1.26440e-05
1.78328e+03	2.81805e-02	1.33351e-03	6.01807	1.74065	1.26440e-05
1.80332e+03	2.81722e-02	9.35477e-04	2.59985	3.11981	1.26440e-05
1.82336e+03	2.81738e-02	1.05206e-03	4.37486	0.30985	1.26440e-05
1.84340e+03	2.81740e-02	9.07265e-04	3.95989	0.69441	1.26440e-05
1.86343e+03	2.81822e-02	7.30005e-04	2.56829	3.14137	1.26440e-05
1.88347e+03	2.81776e-02	9.02237e-04	5.17985	2.69011	1.26440e-05
1.90351e+03	2.81805e-02	1.07467e-03	6.25948	4.92818	1.26440e-05
1.92354e+03	2.81833e-02	1.11965e-03	5.23233	4.19423	1.26440e-05
1.94358e+03	2.81877e-02	1.19892e-03	0.39977	2.23015	1.26440e-05
1.96362e+03	2.81896e-02	1.26103e-03	0.26248	3.10241	1.26440e-05
1.98365e+03	2.81914e-02	8.61794e-04	4.35259	1.04618	1.26440e-05
2.00369e+03	2.81800e-02	1.00232e-03	3.90112	4.88387	1.26440e-05
2.02373e+03	2.81928e-02	1.06854e-03	0.62767	0.35831	1.26440e-05
2.04376e+03	2.81948e-02	1.12983e-03	0.47657	0.41588	1.26440e-05
2.06380e+03	2.81808e-02	1.12165e-03	3.22197	5.33866	1.26440e-05
2.08384e+03	2.81933e-02	9.11508e-04	1.53032	3.59775	1.26440e-05
2.10388e+03	2.81943e-02	9.90145e-04	2.70791	0.51253	1.26440e-05
2.12391e+03	2.82009e-02	1.26197e-03	0.03401	2.83160	1.26440e-05
2.14395e+03	2.82063e-02	1.25721e-03	5.25124	5.13894	1.26440e-05
2.16399e+03	2.82017e-02	1.20093e-03	6.03727	0.93195	1.26440e-05
2.18402e+03	2.81958e-02	1.06876e-03	1.90527	3.30815	1.26440e-05
2.20406e+03	2.82085e-02	1.05600e-03	5.68173	5.72168	1.26440e-05
2.22410e+03	2.82032e-02	8.85124e-04	5.14522	1.59755	1.26440e-05
2.24413e+03	2.81959e-02	9.23656e-04	5.13809	4.96794	1.26440e-05
