# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
1.50277e+03	1.57191e-02	1.31547e-03	3.03651	2.90772	4.83340e-05
1.52281e+03	1.57230e-02	1.23476e-03	5.70750	4.27928	4.83340e-05
1.54284e+03	1.57146e-02	1.32408e-03	2.82094	3.41264	4.83340e-05
1.56288e+03	1.57137e-02	1.36342e-03	0.05173	0.59498	4.83340e-05
1.58292e+03	1.57125e-02	1.38052e-03	3.02960	2.54885	4.83340e-05
1.60295e+03	1.57086e-02	1.27347e-03	4.47510	3.55087	4.83340e-05
1.62299e+03	1.57068e-02	1.22475e-03	3.15229	4.63353	4.83340e-05
1.64303e+03	1.57057e-02	1.32995e-03	0.29200	4.27634	4.83340e-05
1.66306e+03	1.57037e-02	1.31071e-03	5.98430	4.68069	4.83340e-05
1.68310e+03	1.57007e-02	1.29305e-03	1.86351	5.11024	4.83340e-05
1.70314e+03	1.56999e-02	1.33591e-03	6.22776	5.91729	4.83340e-05
1.72317e+03	1.56979e-02	1.32794e-03	6.07117	0.87146	4.83340e-05
1.74321e+03	1.56959e-02	1.25969e-03	5.91340	4.10369	4.83340e-05
1.76325e+03	1.56938e-02	1.28149e-03	0.26358	2.00314	4.83340e-05
1.78328e+03	1.56924e-02	1.32134e-03	1.03705	1.26570	4.83340e-05
1.80332e+03	1.56899e-02	1.25138e-03	0.42743	3.18729	4.83340e-05
1.82336e+03	1.56887e-02	1.27027e-03	5.42904	0.61500	4.83340e-05
1.84340e+03	1.56859e-02	1.22815e-03	2.88647	0.04922	4.83340e-05
1.86343e+03	1.56837e-02	1.21941e-03	3.92832	2.76817	4.83340e-05
1.88347e+03	1.56821e-02	1.18245e-03	1.89068	2.65988	4.83340e-05
1.90351e+03	1.56807e-02	1.14765e-03	3.58016	5.25551	4.83340e-05
1.92354e+03	1.56801e-02	1.30125e-03	2.16848	4.59550	4.83340e-05
1.94358e+03	1.56785e-02	1.29575e-03	2.78285	1.71005	4.83340e-05
1.96362e+03	1.56782e-02	1.09027e-03	4.97872	3.04320	4.83340e-05
1.98365e+03	1.56731e-02	1.17933e-03	2.68073	1.91928	4.83340e-05
2.00369e+03	1.56728e-02	1.14643e-03	2.00552	4.56449	4.83340e-05
2.02373e+03	1.56703e-02	1.23906e-03	0.75219	0.43148	4.83340e-05
2.04376e+03	1.56689e-02	1.24900e-03	0.24206	0.56031	4.83340e-05
2.06380e+03	1.56735e-02	1.20112e-03	6.05851	5.53472	4.83340e-05
2.08384e+03	1.56662e-02	1.25710e-03	4.65200	3.44382	4.83340e-05
