# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
1.19067e-02	3.41542e-03	1.57047e-02	4.52124e-03	2.07846e-02	3.23348e-03	2.76529e-02	4.81019e-04
1.19029e-02	3.26707e-03	1.57044e-02	4.32454e-03	2.07936e-02	3.09244e-03	2.76846e-02	4.59957e-04
1.18990e-02	3.12519e-03	1.57040e-02	4.13642e-03	2.08030e-02	2.95757e-03	2.77178e-02	4.39814e-04
1.18948e-02	2.98951e-03	1.57036e-02	3.95651e-03	2.08129e-02	2.82858e-03	2.77526e-02	4.20550e-04
1.18905e-02	2.85975e-03	1.57032e-02	3.78446e-03	2.08232e-02	2.70522e-03	2.77890e-02	4.02127e-04
1.18860e-02	2.73564e-03	1.57028e-02	3.61991e-03	2.08340e-02	2.58724e-03	2.78273e-02	3.84507e-04
1.18812e-02	2.61695e-03	1.57023e-02	3.46253e-03	2.08453e-02	2.47441e-03	2.78673e-02	3.67656e-04
1.18763e-02	2.50344e-03	1.57018e-02	3.31203e-03	2.08570e-02	2.36650e-03	2.79094e-02	3.51539e-04
1.18711e-02	2.39488e-03	1.57013e-02	3.16808e-03	2.08694e-02	2.26329e-03	2.79535e-02	3.36125e-04
1.18657e-02	2.29105e-03	1.57007e-02	3.03041e-03	2.08822e-02	2.16459e-03	2.79997e-02	3.21383e-04
1.18600e-02	2.19175e-03	1.57001e-02	2.89874e-03	2.08957e-02	2.07019e-03	2.80483e-02	3.07283e-04
1.18541e-02	2.09677e-03	1.56995e-02	2.77282e-03	2.09098e-02	1.97990e-03	2.80992e-02	2.93798e-04
1.18479e-02	2.00594e-03	1.56987e-02	2.65238e-03	2.09245e-02	1.89355e-03	2.81526e-02	2.80900e-04
1.18414e-02	1.91907e-03	1.56980e-02	2.53719e-03	2.09399e-02	1.81096e-03	2.82087e-02	2.68564e-04
1.18346e-02	1.83598e-03	1.56972e-02	2.42703e-03	2.09560e-02	1.73197e-03	2.82676e-02	2.56765e-04
1.18275e-02	1.75651e-03	1.56963e-02	2.32166e-03	2.09728e-02	1.65643e-03	2.83294e-02	2.45481e-04
1.18201e-02	1.68051e-03	1.56954e-02	2.22089e-03	2.09904e-02	1.58417e-03	2.83944e-02	2.34688e-04
