# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
3.83038e-04	2.16082e-06	5.87593e-04	2.75566e-06	1.08234e-03	1.81345e-06	1.65237e+00	4.63648e-08
3.68795e-04	2.06074e-06	5.65743e-04	2.62768e-06	1.04209e-03	1.72927e-06	1.66498e+00	4.37201e-08
3.55231e-04	1.96754e-06	5.44936e-04	2.50700e-06	1.00376e-03	1.65117e-06	1.67727e+00	4.12545e-08
3.42158e-04	1.87703e-06	5.24881e-04	2.39269e-06	9.66824e-04	1.57476e-06	1.68938e+00	3.89281e-08
3.29463e-04	1.79028e-06	5.05407e-04	2.28131e-06	9.30953e-04	1.50433e-06	1.70140e+00	3.67164e-08
3.17398e-04	1.70807e-06	4.86899e-04	2.17736e-06	8.96862e-04	1.43746e-06	1.71309e+00	3.46589e-08
3.05670e-04	1.62908e-06	4.68908e-04	2.07927e-06	8.63724e-04	1.36791e-06	1.72470e+00	3.27006e-08
2.94137e-04	1.55278e-06	4.51216e-04	1.98114e-06	8.31136e-04	1.30392e-06	1.73638e+00	3.08154e-08
2.83334e-04	1.48287e-06	4.34643e-04	1.88947e-06	8.00609e-04	1.24173e-06	1.74757e+00	2.90866e-08
2.72996e-04	1.41575e-06	4.18785e-04	1.80408e-06	7.71398e-04	1.18728e-06	1.75851e+00	2.74664e-08
2.62858e-04	1.34859e-06	4.03233e-04	1.72172e-06	7.42751e-04	1.13273e-06	1.76948e+00	2.59102e-08
2.53022e-04	1.28581e-06	3.88144e-04	1.64024e-06	7.14958e-04	1.07809e-06	1.78036e+00	2.44323e-08
2.43830e-04	1.22817e-06	3.74043e-04	1.56424e-06	6.88942e-04	1.02902e-06	1.79075e+00	2.30487e-08
2.35041e-04	1.17490e-06	3.60560e-04	1.49732e-06	6.64149e-04	9.80930e-07	1.80089e+00	2.18120e-08
2.25914e-04	1.11756e-06	3.46560e-04	1.42358e-06	6.38317e-04	9.35607e-07	1.81167e+00	2.04916e-08
2.17735e-04	1.06497e-06	3.34014e-04	1.35836e-06	6.15193e-04	8.91717e-07	1.82153e+00	1.93538e-08
2.09821e-04	1.01941e-06	3.21873e-04	1.29904e-06	5.92887e-04	8.50826e-07	1.83128e+00	1.83205e-08
2.01775e-04	9.70198e-07	3.09530e-04	1.23487e-06	5.70153e-04	8.14513e-07	1.84142e+00	1.72528e-08
1.94586e-04	9.25716e-07	2.98501e-04	1.17715e-06	5.49789e-04	7.73895e-07	1.85067e+00	1.62885e-08
1.87766e-04	8.87901e-07	2.88039e-04	1.12845e-06	5.30567e-04	7.47091e-07	1.85962e+00	1.54497e-08
1.80427e-04	8.43772e-07	2.76782e-04	1.07399e-06	5.09831e-04	7.09284e-07	1.86947e+00	1.45337e-08
1.73710e-04	8.03097e-07	2.66478e-04	1.02747e-06	4.90850e-04	6.66856e-07	1.87868e+00	1.37128e-08
1.66824e-04	7.63367e-07	2.55915e-04	9.77234e-07	4.71393e-04	6.42669e-07	1.88834e+00	1.28891e-08
1.60608e-04	7.28708e-07	2.46379e-04	9.34025e-07	4.53828e-04	6.03593e-07	1.89725e+00	1.21611e-08
1.54370e-04	6.91011e-07	2.36809e-04	8.83681e-07	4.36201e-04	5.86207e-07	1.90639e+00	1.14458e-08
1.49279e-04	6.64896e-07	2.29000e-04	8.48662e-07	4.21796e-04	5.52580e-07	1.91400e+00	1.08623e-08
1.43542e-04	6.31744e-07	2.20198e-04	8.08004e-07	4.05570e-04	5.31022e-07	1.92276e+00	1.02221e-08
1.38245e-04	6.07469e-07	2.12073e-04	7.67138e-07	3.90637e-04	5.07005e-07	1.93101e+00	9.66896e-09
1.33619e-04	5.80561e-07	2.04977e-04	7.34875e-07	3.77566e-04	4.96529e-07	1.93837e+00	9.17904e-09
1.28717e-04	5.58740e-07	1.97456e-04	7.00404e-07	3.63713e-04	4.68600e-07	1.94632e+00	8.66964e-09
1.24086e-04	5.27463e-07	1.90352e-04	6.72587e-07	3.50595e-04	4.37441e-07	1.95399e+00	8.18127e-09
1.18888e-04	4.93589e-07	1.82378e-04	6.37946e-07	3.35939e-04	4.23674e-07	1.96279e+00	7.67958e-09
1.14446e-04	4.81412e-07	1.75565e-04	6.04635e-07	3.23389e-04	4.07991e-07	1.97048e+00	7.24618e-09
1.10695e-04	4.58698e-07	1.69810e-04	5.85775e-07	3.12788e-04	3.66911e-07	1.97710e+00	6.88707e-09
1.05292e-04	4.25696e-07	1.61521e-04	5.54840e-07	2.97522e-04	3.47678e-07	1.98686e+00	6.38093e-09
1.00813e-04	4.09342e-07	1.54651e-04	5.12031e-07	2.84867e-04	3.52529e-07	1.99516e+00	5.97210e-09
9.83317e-05	3.89619e-07	1.50832e-04	4.92666e-07	2.77331e-04	3.28094e-07	1.99989e+00	5.71091e-09
9.53483e-05	3.80908e-07	1.46268e-04	4.88646e-07	2.69424e-04	3.31050e-07	2.00557e+00	5.48607e-09
