# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.77603e+01	2.92704e-02	3.15143e-02	0.56732	2.83540	2.31180e-05
2.81304e+01	2.92708e-02	3.15173e-02	3.76661	4.14201	2.31180e-05
2.85006e+01	2.92637e-02	3.13844e-02	1.04420	5.26412	2.31180e-05
2.88707e+01	2.92664e-02	3.14758e-02	4.98449	6.14856	2.31180e-05
2.92408e+01	2.92573e-02	3.12862e-02	2.99413	0.55500	2.31180e-05
2.96110e+01	2.92696e-02	3.12641e-02	1.38721	1.01770	2.31180e-05
2.99811e+01	2.92833e-02	3.14034e-02	0.14236	1.27353	2.31180e-05
3.03513e+01	2.92748e-02	3.11607e-02	5.57156	1.30946	2.31180e-05
3.07214e+01	2.92620e-02	3.11024e-02	5.05705	1.14302	2.31180e-05
3.10915e+01	2.92622e-02	3.08365e-02	4.89594	0.77607	2.31180e-05
3.14617e+01	2.92651e-02	3.08521e-02	5.11033	0.18313	2.31180e-05
3.18318e+01	2.92749e-02	3.10508e-02	5.69894	5.64942	2.31180e-05
3.22019e+01	2.92797e-02	3.08577e-02	0.34434	4.66007	2.31180e-05
3.25721e+01	2.92689e-02	3.04489e-02	1.62303	3.45040	2.31180e-05
3.29422e+01	2.92634e-02	3.06001e-02	3.26853	2.02159	2.31180e-05
3.33124e+01	2.92661e-02	3.05991e-02	5.27131	0.38169	2.31180e-05
3.36825e+01	2.92718e-02	3.06295e-02	1.32529	4.83487	2.31180e-05
3.40526e+01	2.92693e-02	3.02034e-02	4.04346	2.78768	2.31180e-05
3.44228e+01	2.92660e-02	3.01346e-02	0.79930	0.54346	2.31180e-05
3.47929e+01	2.92759e-02	3.00316e-02	4.20223	4.36149	2.31180e-05
3.51630e+01	2.92754e-02	3.03449e-02	1.63960	1.72026	2.31180e-05
3.55332e+01	2.92749e-02	3.04005e-02	5.75081	5.11169	2.31180e-05
3.59033e+01	2.92719e-02	2.97814e-02	3.90642	2.04927	2.31180e-05
3.62735e+01	2.92721e-02	2.98910e-02	2.37899	5.07480	2.31180e-05
3.66436e+01	2.92702e-02	2.99108e-02	1.20795	1.59830	2.31180e-05
3.70137e+01	2.92698e-02	2.98021e-02	0.36461	4.21514	2.31180e-05
3.73839e+01	2.92827e-02	3.00725e-02	6.15892	0.32995	2.31180e-05
3.77540e+01	2.92741e-02	2.98017e-02	6.00757	2.54306	2.31180e-05
3.81241e+01	2.92826e-02	2.99445e-02	6.18718	4.54167	2.31180e-05
3.84943e+01	2.92690e-02	2.95380e-02	0.40308	0.07163	2.31180e-05
3.88644e+01	2.92697e-02	2.95388e-02	1.24900	1.66990	2.31180e-05
3.92346e+01	2.92706e-02	2.93890e-02	2.41585	3.07986	2.31180e-05
3.96047e+01	2.92714e-02	2.91458e-02	3.94606	4.27547	2.31180e-05
3.99748e+01	2.92743e-02	2.96602e-02	5.77877	5.28156	2.31180e-05
4.03450e+01	2.92739e-02	2.94610e-02	1.62199	6.12334	2.31180e-05
4.07151e+01	2.92748e-02	2.89740e-02	4.12177	0.43801	2.31180e-05
4.10852e+01	2.92659e-02	2.90378e-02	0.63285	0.86870	2.31180e-05
4.14554e+01	2.92678e-02	2.88517e-02	3.78476	1.08748	2.31180e-05
4.18255e+01	2.92652e-02	2.90860e-02	0.95444	1.11257	2.31180e-05
4.21957e+01	2.92646e-02	2.90804e-02	4.73261	0.94017	2.31180e-05
4.25658e+01	2.92583e-02	2.89985e-02	2.53838	0.58135	2.31180e-05
4.29359e+01	2.92652e-02	2.87342e-02	0.65478	0.03620	2.31180e-05
4.33061e+01	2.92674e-02	2.86818e-02	5.40645	5.56328	2.31180e-05
4.36762e+01	2.92655e-02	2.88831e-02	4.17863	4.60911	2.31180e-05
4.40463e+01	2.92648e-02	2.87379e-02	3.23991	3.48815	2.31180e-05
4.44165e+01	2.92648e-02	2.84320e-02	2.62134	2.16921	2.31180e-05
4.47866e+01	2.92710e-02	2.84879e-02	2.32887	0.64380	2.31180e-05
4.51568e+01	2.92717e-02	2.84395e-02	2.35403	5.22264	2.31180e-05
4.55269e+01	2.92637e-02	2.82799e-02	2.67852	3.32161	2.31180e-05
4.58970e+01	2.92623e-02	2.84791e-02	3.32698	1.21422	2.31180e-05
4.62672e+01	2.92669e-02	2.84637e-02	4.26489	5.21995	2.31180e-05
4.66373e+01	2.92696e-02	2.82330e-02	5.51338	2.74948	2.31180e-05
4.70074e+01	2.92631e-02	2.82610e-02	0.80097	0.09008	2.31180e-05
4.73776e+01	2.92532e-02	2.81365e-02	2.65605	3.52965	2.31180e-05
4.77477e+01	2.92625e-02	2.82547e-02	4.82652	0.48610	2.31180e-05
4.81179e+01	2.92583e-02	2.80060e-02	0.99769	3.55679	2.31180e-05
4.84880e+01	2.92658e-02	2.80256e-02	3.78222	0.12908	2.31180e-05
4.88581e+01	2.92651e-02	2.78960e-02	0.56626	2.83272	2.31180e-05
4.92283e+01	2.92693e-02	2.76890e-02	3.95206	5.31358	2.31180e-05
4.95984e+01	2.92641e-02	2.79217e-02	1.31079	1.36854	2.31180e-05
4.99685e+01	2.92613e-02	2.79075e-02	5.29587	3.47533	2.31180e-05
5.03387e+01	2.92564e-02	2.76166e-02	3.25466	5.43733	2.31180e-05
5.07088e+01	2.92702e-02	2.79432e-02	1.54267	0.91426	2.31180e-05
5.10790e+01	2.92787e-02	2.79407e-02	0.11975	2.47952	2.31180e-05
5.14491e+01	2.92645e-02	2.76409e-02	5.26208	3.87243	2.31180e-05
5.18192e+01	2.92606e-02	2.77957e-02	4.42916	5.06644	2.31180e-05
5.21894e+01	2.92684e-02	2.70323e-02	3.86163	6.10361	2.31180e-05
5.25595e+01	2.92670e-02	2.74186e-02	3.61892	0.65869	2.31180e-05
5.29296e+01	2.92645e-02	2.72201e-02	3.64844	1.31407	2.31180e-05
5.32998e+01	2.92653e-02	2.71794e-02	3.95700	1.79939	2.31180e-05
5.36699e+01	2.92672e-02	2.73166e-02	4.55924	2.09615	2.31180e-05
5.40400e+01	2.92642e-02	2.74097e-02	5.45968	2.20137	2.31180e-05
5.44102e+01	2.92665e-02	2.72075e-02	0.34817	2.15871	2.31180e-05
5.47803e+01	2.92634e-02	2.69361e-02	1.80432	1.91862	2.31180e-05
5.51505e+01	2.92659e-02	2.70909e-02	3.55912	1.48478	2.31180e-05
5.55206e+01	2.92644e-02	2.72654e-02	5.59211	0.87618	2.31180e-05
5.58907e+01	2.92664e-02	2.70264e-02	1.61013	0.10287	2.31180e-05
5.62609e+01	2.92630e-02	2.69082e-02	4.21803	5.42859	2.31180e-05
5.66310e+01	2.92551e-02	2.67915e-02	0.80007	4.29668	2.31180e-05
5.70011e+01	2.92711e-02	2.66078e-02	3.95929	2.97403	2.31180e-05
5.73713e+01	2.92612e-02	2.68898e-02	1.10391	1.48429	2.31180e-05
5.77414e+01	2.92552e-02	2.69926e-02	4.81169	6.09892	2.31180e-05
5.81116e+01	2.92644e-02	2.67395e-02	2.52667	4.25702	2.31180e-05
5.84817e+01	2.92639e-02	2.66713e-02	0.49686	2.24406	2.31180e-05
5.88518e+01	2.92609e-02	2.65441e-02	5.02993	0.05124	2.31180e-05
5.92220e+01	2.92618e-02	2.62465e-02	3.55478	3.96488	2.31180e-05
5.95921e+01	2.92553e-02	2.63807e-02	2.36070	1.41381	2.31180e-05
5.99622e+01	2.92622e-02	2.63949e-02	1.44332	4.98442	2.31180e-05
6.03324e+01	2.92605e-02	2.63435e-02	0.79175	2.08710	2.31180e-05
6.07025e+01	2.92657e-02	2.64701e-02	0.40632	5.30427	2.31180e-05
6.10727e+01	2.92680e-02	2.65165e-02	0.29245	2.06373	2.31180e-05
6.14428e+01	2.92647e-02	2.63589e-02	0.44669	4.93487	2.31180e-05
6.18129e+01	2.92597e-02	2.61675e-02	0.88905	1.34806	2.31180e-05
6.21831e+01	2.92624e-02	2.61107e-02	1.57538	3.87913	2.31180e-05
6.25532e+01	2.92517e-02	2.61302e-02	2.54418	6.22367	2.31180e-05
6.29233e+01	2.92652e-02	2.57164e-02	3.76560	2.12679	2.31180e-05
6.32935e+01	2.92615e-02	2.60245e-02	5.25412	4.14063	2.31180e-05
6.36636e+01	2.92610e-02	2.60949e-02	0.74881	5.97539	2.31180e-05
6.40338e+01	2.92594e-02	2.61440e-02	2.77386	1.35735	2.31180e-05
6.44039e+01	2.92548e-02	2.61374e-02	5.05568	2.85946	2.31180e-05
6.47740e+01	2.92614e-02	2.60475e-02	1.31243	4.19562	2.31180e-05
6.51442e+01	2.92701e-02	2.57213e-02	4.12462	5.35260	2.31180e-05
6.55143e+01	2.92541e-02	2.58057e-02	0.91413	0.07455	2.31180e-05
6.58844e+01	2.92610e-02	2.57993e-02	4.24656	0.89550	2.31180e-05
6.62546e+01	2.92648e-02	2.58315e-02	1.55043	1.55139	2.31180e-05
6.66247e+01	2.92603e-02	2.59223e-02	5.40207	2.03522	2.31180e-05
6.69949e+01	2.92602e-02	2.58195e-02	3.23112	2.36615	2.31180e-05
6.73650e+01	2.92600e-02	2.55719e-02	1.30161	2.52820	2.31180e-05
6.77351e+01	2.92681e-02	2.57506e-02	5.92207	2.51384	2.31180e-05
6.81053e+01	2.92563e-02	2.58741e-02	4.52477	2.32313	2.31180e-05
6.84754e+01	2.92581e-02	2.55623e-02	3.35457	1.99342	2.31180e-05
6.88455e+01	2.92628e-02	2.53083e-02	2.46195	1.49385	2.31180e-05
6.92157e+01	2.92629e-02	2.54570e-02	1.83053	0.80254	2.31180e-05
6.95858e+01	2.92641e-02	2.57285e-02	1.42569	6.25750	2.31180e-05
6.99560e+01	2.92595e-02	2.53012e-02	1.28349	5.25351	2.31180e-05
7.03261e+01	2.92660e-02	2.56245e-02	1.39513	4.08277	2.31180e-05
7.06962e+01	2.92625e-02	2.53421e-02	1.77448	2.74936	2.31180e-05
7.10664e+01	2.92642e-02	2.50631e-02	2.37082	1.26792	2.31180e-05
7.14365e+01	2.92525e-02	2.53843e-02	3.25206	5.87064	2.31180e-05
7.18066e+01	2.92610e-02	2.54005e-02	4.35883	4.05169	2.31180e-05
7.21768e+01	2.92657e-02	2.52214e-02	5.71012	2.07365	2.31180e-05
7.25469e+01	2.92584e-02	2.52157e-02	1.05488	6.20357	2.31180e-05
7.29171e+01	2.92563e-02	2.50331e-02	2.89350	3.90790	2.31180e-05
7.32872e+01	2.92572e-02	2.52242e-02	5.00494	1.42408	2.31180e-05
7.36573e+01	2.92577e-02	2.49204e-02	1.05235	5.08816	2.31180e-05
7.40275e+01	2.92606e-02	2.50388e-02	3.65797	2.27831	2.31180e-05
7.43976e+01	2.92590e-02	2.49826e-02	0.20042	5.63327	2.31180e-05
7.47677e+01	2.92528e-02	2.50295e-02	3.29197	2.50388	2.31180e-05
7.51379e+01	2.92652e-02	2.50161e-02	0.31619	5.52574	2.31180e-05
7.55080e+01	2.92612e-02	2.49302e-02	3.89828	2.07240	2.31180e-05
7.58782e+01	2.92613e-02	2.49167e-02	1.38527	4.79594	2.31180e-05
7.62483e+01	2.92596e-02	2.49690e-02	5.47116	1.02088	2.31180e-05
7.66184e+01	2.92566e-02	2.44776e-02	3.45315	3.41365	2.31180e-05
7.69886e+01	2.92616e-02	2.47475e-02	1.70074	5.62235	2.31180e-05
7.73587e+01	2.92738e-02	2.49676e-02	0.18141	1.39631	2.31180e-05
7.77288e+01	2.92572e-02	2.46784e-02	5.18300	3.29621	2.31180e-05
7.80990e+01	2.92595e-02	2.47973e-02	4.17508	5.02058	2.31180e-05
7.84691e+01	2.92569e-02	2.44567e-02	3.34615	0.34551	2.31180e-05
7.88392e+01	2.92590e-02	2.46347e-02	2.78090	1.76977	2.31180e-05
7.92094e+01	2.92625e-02	2.45104e-02	2.44988	3.03904	2.31180e-05
7.95795e+01	2.92636e-02	2.42463e-02	2.33400	4.17386	2.31180e-05
7.99497e+01	2.92628e-02	2.44494e-02	2.50048	5.12226	2.31180e-05
8.03198e+01	2.92556e-02	2.45576e-02	2.88587	5.91268	2.31180e-05
8.06899e+01	2.92581e-02	2.42135e-02	3.47946	0.29179	2.31180e-05
8.10601e+01	2.92601e-02	2.45217e-02	4.32741	0.77698	2.31180e-05
8.14302e+01	2.92585e-02	2.44699e-02	5.40948	1.10576	2.31180e-05
8.18003e+01	2.92692e-02	2.44286e-02	0.43003	1.30852	2.31180e-05
8.21705e+01	2.92577e-02	2.40075e-02	1.95956	1.34562	2.31180e-05
8.25406e+01	2.92644e-02	2.39775e-02	3.73516	1.21334	2.31180e-05
8.29108e+01	2.92612e-02	2.44559e-02	5.74083	0.92820	2.31180e-05
8.32809e+01	2.92682e-02	2.43544e-02	1.66317	0.51907	2.31180e-05
8.36510e+01	2.92593e-02	2.40454e-02	4.15032	6.20768	2.31180e-05
8.40212e+01	2.92595e-02	2.40572e-02	0.54343	5.48042	2.31180e-05
8.43913e+01	2.92582e-02	2.39780e-02	3.45892	4.59039	2.31180e-05
8.47614e+01	2.92547e-02	2.41358e-02	0.32120	3.54652	2.31180e-05
8.51316e+01	2.92593e-02	2.40378e-02	3.70261	2.34133	2.31180e-05
8.55017e+01	2.92621e-02	2.40022e-02	1.01993	1.00949	2.31180e-05
8.58719e+01	2.92572e-02	2.38454e-02	4.83149	5.80878	2.31180e-05
8.62420e+01	2.92580e-02	2.37331e-02	2.58909	4.16902	2.31180e-05
8.66121e+01	2.92586e-02	2.38196e-02	0.58233	2.36804	2.31180e-05
8.69823e+01	2.92580e-02	2.39063e-02	5.07988	0.42037	2.31180e-05
8.73524e+01	2.92605e-02	2.38220e-02	3.53995	4.60102	2.31180e-05
8.77225e+01	2.92559e-02	2.37547e-02	2.20033	2.35425	2.31180e-05
8.80927e+01	2.92534e-02	2.39455e-02	1.08307	6.24155	2.31180e-05
8.84628e+01	2.92653e-02	2.41004e-02	0.19230	3.69310	2.31180e-05
8.88330e+01	2.92608e-02	2.39843e-02	5.80451	0.99765	2.31180e-05
8.92031e+01	2.92567e-02	2.38060e-02	5.37522	4.43323	2.31180e-05
8.95732e+01	2.92551e-02	2.37856e-02	5.13697	1.44986	2.31180e-05
8.99434e+01	2.92520e-02	2.37323e-02	5.12754	4.59305	2.31180e-05
9.03135e+01	2.92563e-02	2.37327e-02	5.33712	1.30611	2.31180e-05
9.06836e+01	2.92655e-02	2.39081e-02	5.77841	4.14177	2.31180e-05
9.10538e+01	2.92568e-02	2.37201e-02	0.13903	0.58125	2.31180e-05
9.14239e+01	2.92556e-02	2.35516e-02	1.01036	3.13020	2.31180e-05
9.17941e+01	2.92676e-02	2.34565e-02	2.07184	5.56017	2.31180e-05
9.21642e+01	2.92554e-02	2.34099e-02	3.38530	1.52511	2.31180e-05
9.25343e+01	2.92527e-02	2.35061e-02	4.90236	3.64114	2.31180e-05
9.29045e+01	2.92534e-02	2.33018e-02	0.36593	5.61440	2.31180e-05
9.32746e+01	2.92508e-02	2.31570e-02	2.32408	1.14621	2.31180e-05
9.36447e+01	2.92538e-02	2.33370e-02	4.48898	2.82505	2.31180e-05
9.40149e+01	2.92580e-02	2.32785e-02	0.58781	4.35526	2.31180e-05
9.43850e+01	2.92480e-02	2.34370e-02	3.19227	5.73222	2.31180e-05
9.47552e+01	2.92678e-02	2.37158e-02	6.03096	0.67977	2.31180e-05
9.51253e+01	2.92571e-02	2.32889e-02	2.74987	1.79844	2.31180e-05
9.54954e+01	2.92620e-02	2.33769e-02	5.98205	2.75534	2.31180e-05
9.58656e+01	2.92471e-02	2.31127e-02	3.14375	3.56895	2.31180e-05
9.62357e+01	2.92659e-02	2.32192e-02	0.52814	4.22754	2.31180e-05
9.66058e+01	2.92537e-02	2.33653e-02	4.43440	4.73400	2.31180e-05
9.69760e+01	2.92656e-02	2.30322e-02	2.20667	5.14092	2.31180e-05
9.73461e+01	2.92555e-02	2.30506e-02	0.22071	5.37443	2.31180e-05
9.77163e+01	2.92564e-02	2.29133e-02	4.73227	5.46159	2.31180e-05
9.80864e+01	2.92473e-02	2.31729e-02	3.17567	5.39932	2.31180e-05
9.84565e+01	2.92584e-02	2.29554e-02	1.82476	5.21782	2.31180e-05
9.88267e+01	2.92559e-02	2.28432e-02	0.67080	4.88837	2.31180e-05
9.91968e+01	2.92718e-02	2.32035e-02	6.02628	4.40000	2.31180e-05
9.95669e+01	2.92537e-02	2.30096e-02	5.29855	3.77758	2.31180e-05
9.99371e+01	2.92521e-02	2.30137e-02	4.75530	3.03773	2.31180e-05
1.00307e+02	2.92535e-02	2.28447e-02	4.45601	2.13767	2.31180e-05
1.00677e+02	2.92542e-02	2.30574e-02	4.36241	1.07908	2.31180e-05
1.01047e+02	2.92558e-02	2.29721e-02	4.44418	6.19567	2.31180e-05
1.01418e+02	2.92503e-02	2.27408e-02	4.73375	4.88642	2.31180e-05
1.01788e+02	2.92527e-02	2.28472e-02	5.26089	3.40467	2.31180e-05
1.02158e+02	2.92684e-02	2.30470e-02	5.98522	1.80813	2.31180e-05
1.02528e+02	2.92641e-02	2.27413e-02	0.60889	0.07782	2.31180e-05
1.02898e+02	2.92582e-02	2.26744e-02	1.72812	4.48283	2.31180e-05
1.03268e+02	2.92448e-02	2.26318e-02	3.04631	2.47014	2.31180e-05
1.03638e+02	2.92565e-02	2.27196e-02	4.59592	0.29097	2.31180e-05
1.04009e+02	2.92578e-02	2.26832e-02	0.03500	4.30360	2.31180e-05
1.04379e+02	2.92664e-02	2.25873e-02	1.96705	1.86973	2.31180e-05
1.04749e+02	2.92594e-02	2.26168e-02	4.12325	5.56098	2.31180e-05
1.05119e+02	2.92706e-02	2.27853e-02	0.16718	2.85999	2.31180e-05
1.05489e+02	2.92463e-02	2.26841e-02	2.71296	0.00431	2.31180e-05
1.05859e+02	2.92581e-02	2.23897e-02	5.45949	3.31257	2.31180e-05
1.06229e+02	2.92656e-02	2.24148e-02	2.10254	0.20232	2.31180e-05
1.06600e+02	2.92542e-02	2.22709e-02	5.25735	3.21139	2.31180e-05
1.06970e+02	2.92516e-02	2.23895e-02	2.32209	6.08968	2.31180e-05
1.07340e+02	2.92626e-02	2.24437e-02	5.85231	2.56545	2.31180e-05
1.07710e+02	2.92555e-02	2.24033e-02	3.32787	5.17520	2.31180e-05
1.08080e+02	2.92595e-02	2.23377e-02	0.98454	1.36553	2.31180e-05
1.08450e+02	2.92554e-02	2.23403e-02	5.11111	3.71585	2.31180e-05
1.08820e+02	2.92515e-02	2.24186e-02	3.17457	5.90680	2.31180e-05
1.09191e+02	2.92551e-02	2.21207e-02	1.41829	1.71418	2.31180e-05
1.09561e+02	2.92577e-02	2.25164e-02	6.15910	3.63571	2.31180e-05
1.09931e+02	2.92491e-02	2.21518e-02	4.78670	5.44945	2.31180e-05
1.10301e+02	2.92590e-02	2.19593e-02	3.63099	0.82284	2.31180e-05
1.10671e+02	2.92545e-02	2.22113e-02	2.67137	2.34495	2.31180e-05
1.11041e+02	2.92546e-02	2.18824e-02	1.89912	3.75899	2.31180e-05
1.11411e+02	2.92561e-02	2.23754e-02	1.32781	5.01504	2.31180e-05
1.11781e+02	2.92593e-02	2.20969e-02	0.95355	6.13506	2.31180e-05
1.12152e+02	2.92472e-02	2.19174e-02	0.75634	0.85574	2.31180e-05
1.12522e+02	2.92535e-02	2.20850e-02	0.77395	1.70506	2.31180e-05
1.12892e+02	2.92550e-02	2.21128e-02	0.98783	2.43498	2.31180e-05
1.13262e+02	2.92543e-02	2.18723e-02	1.36799	3.04257	2.31180e-05
1.13632e+02	2.92654e-02	2.20116e-02	1.94335	3.51448	2.31180e-05
1.14002e+02	2.92431e-02	2.21703e-02	2.75713	3.80762	2.31180e-05
1.14372e+02	2.92561e-02	2.16999e-02	3.71037	4.02213	2.31180e-05
1.14743e+02	2.92551e-02	2.19655e-02	4.88721	4.08832	2.31180e-05
1.15113e+02	2.92651e-02	2.23527e-02	6.25754	4.00329	2.31180e-05
1.15483e+02	2.92622e-02	2.20933e-02	1.49693	3.82468	2.31180e-05
1.15853e+02	2.92465e-02	2.17155e-02	3.22913	3.49740	2.31180e-05
1.16223e+02	2.92521e-02	2.18265e-02	5.16356	3.02574	2.31180e-05
1.16593e+02	2.92489e-02	2.19311e-02	1.02061	2.42405	2.31180e-05
1.16963e+02	2.92482e-02	2.18283e-02	3.32666	1.69775	2.31180e-05
1.17334e+02	2.92669e-02	2.19109e-02	5.82459	0.83918	2.31180e-05
1.17704e+02	2.92612e-02	2.14757e-02	2.18953	6.17085	2.31180e-05
1.18074e+02	2.92542e-02	2.17523e-02	5.08121	5.03447	2.31180e-05
1.18444e+02	2.92558e-02	2.16490e-02	1.87876	3.78417	2.31180e-05
1.18814e+02	2.92487e-02	2.17698e-02	5.13788	2.39611	2.31180e-05
1.19184e+02	2.92611e-02	2.15850e-02	2.27593	0.90313	2.31180e-05
1.19554e+02	2.92615e-02	2.17111e-02	5.89942	5.55027	2.31180e-05
1.19924e+02	2.92503e-02	2.13255e-02	3.41827	3.79163	2.31180e-05
1.20295e+02	2.92522e-02	2.14463e-02	1.15319	1.89175	2.31180e-05
1.20665e+02	2.92549e-02	2.15754e-02	5.34474	6.14160	2.31180e-05
1.21035e+02	2.92552e-02	2.15548e-02	3.42799	3.99070	2.31180e-05
1.21405e+02	2.92627e-02	2.17065e-02	1.67889	1.72832	2.31180e-05
1.21775e+02	2.92531e-02	2.16714e-02	0.15310	5.58346	2.31180e-05
1.22145e+02	2.92512e-02	2.16053e-02	5.08444	3.03761	2.31180e-05
