# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.77603e+01	2.23318e-02	2.38058e-02	5.51400	6.01320	1.29620e-05
2.81304e+01	2.23315e-02	2.33653e-02	0.85305	1.06398	1.29620e-05
2.85006e+01	2.23279e-02	2.22912e-02	3.05635	2.19009	1.29620e-05
2.88707e+01	2.23235e-02	2.26868e-02	5.82285	3.07155	1.29620e-05
2.92408e+01	2.23312e-02	2.24281e-02	2.86972	3.73380	1.29620e-05
2.96110e+01	2.23264e-02	2.29917e-02	0.45146	4.20136	1.29620e-05
2.99811e+01	2.23274e-02	2.28685e-02	4.86352	4.46175	1.29620e-05
3.03513e+01	2.23171e-02	2.31828e-02	3.56837	4.50977	1.29620e-05
3.07214e+01	2.23188e-02	2.27923e-02	2.81260	4.32792	1.29620e-05
3.10915e+01	2.23216e-02	2.26024e-02	2.57325	3.96264	1.29620e-05
3.14617e+01	2.23176e-02	2.29231e-02	2.89600	3.36777	1.29620e-05
3.18318e+01	2.23182e-02	2.25618e-02	3.75280	2.56894	1.29620e-05
3.22019e+01	2.23281e-02	2.25227e-02	5.17100	1.56177	1.29620e-05
3.25721e+01	2.23244e-02	2.26012e-02	0.82114	0.34061	1.29620e-05
3.29422e+01	2.23301e-02	2.14623e-02	3.28699	5.19556	1.29620e-05
3.33124e+01	2.23230e-02	2.18426e-02	6.25206	3.58954	1.29620e-05
3.36825e+01	2.23288e-02	2.13448e-02	3.49202	1.74748	1.29620e-05
3.40526e+01	2.23292e-02	2.19843e-02	1.27307	5.99259	1.29620e-05
3.44228e+01	2.23300e-02	2.24945e-02	5.86393	3.71964	1.29620e-05
3.47929e+01	2.23191e-02	2.13366e-02	4.65666	1.27853	1.29620e-05
3.51630e+01	2.23282e-02	2.12942e-02	3.97466	4.90867	1.29620e-05
3.55332e+01	2.23176e-02	2.18304e-02	3.83131	2.03049	1.29620e-05
3.59033e+01	2.23202e-02	2.13564e-02	4.20282	5.25773	1.29620e-05
3.62735e+01	2.23250e-02	2.15927e-02	5.07704	1.98291	1.29620e-05
3.66436e+01	2.23258e-02	2.17863e-02	0.17037	4.79539	1.29620e-05
3.70137e+01	2.23172e-02	2.11117e-02	2.06271	1.11764	1.29620e-05
3.73839e+01	2.23221e-02	2.13982e-02	4.45690	3.52450	1.29620e-05
3.77540e+01	2.23191e-02	2.09138e-02	1.09705	5.73201	1.29620e-05
3.81241e+01	2.23223e-02	2.12737e-02	4.50025	1.45178	1.29620e-05
3.84943e+01	2.23170e-02	2.08626e-02	2.11977	3.25749	1.29620e-05
3.88644e+01	2.23249e-02	2.13870e-02	0.23426	4.86549	1.29620e-05
3.92346e+01	2.23242e-02	2.10970e-02	5.13370	6.27104	1.29620e-05
3.96047e+01	2.23188e-02	2.07319e-02	4.26244	1.20109	1.29620e-05
3.99748e+01	2.23166e-02	2.10546e-02	3.87574	2.19864	1.29620e-05
4.03450e+01	2.23268e-02	2.03884e-02	3.95126	3.02750	1.29620e-05
