# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.77603e+01	1.58740e-02	2.23133e-03	0.78910	2.85937	4.36970e-05
2.81304e+01	1.58722e-02	1.93715e-03	5.20256	4.58548	4.36970e-05
2.85006e+01	1.58755e-02	1.06280e-03	5.00142	5.40787	4.36970e-05
2.88707e+01	1.58729e-02	1.03145e-03	5.54434	6.16227	4.36970e-05
2.92408e+01	1.58769e-02	1.98327e-03	0.65578	0.49481	4.36970e-05
2.96110e+01	1.58712e-02	2.22289e-03	2.86487	1.00819	4.36970e-05
2.99811e+01	1.58759e-02	2.30155e-03	5.96804	1.33413	4.36970e-05
3.03513e+01	1.58736e-02	2.17388e-03	3.73225	1.46226	4.36970e-05
3.07214e+01	1.58767e-02	1.99381e-03	2.14794	1.59459	4.36970e-05
3.10915e+01	1.58769e-02	2.01358e-03	1.73941	1.24860	4.36970e-05
3.14617e+01	1.58761e-02	1.97794e-03	2.31041	0.61599	4.36970e-05
3.18318e+01	1.58750e-02	2.12164e-03	4.10187	5.73709	4.36970e-05
3.22019e+01	1.58744e-02	2.18258e-03	0.19839	4.71511	4.36970e-05
3.25721e+01	1.58714e-02	2.08012e-03	3.47772	3.43336	4.36970e-05
3.29422e+01	1.58726e-02	1.60201e-03	1.41304	1.89155	4.36970e-05
3.33124e+01	1.58707e-02	8.50116e-04	0.02125	0.35368	4.36970e-05
3.36825e+01	1.58719e-02	1.21051e-03	5.39592	5.28878	4.36970e-05
3.40526e+01	1.58719e-02	1.80652e-03	5.92956	3.21140	4.36970e-05
3.44228e+01	1.58708e-02	2.03672e-03	1.42829	0.50994	4.36970e-05
3.47929e+01	1.58752e-02	9.29168e-04	3.84389	4.12134	4.36970e-05
3.51630e+01	1.58755e-02	1.53412e-03	6.13120	2.23818	4.36970e-05
3.55332e+01	1.58745e-02	2.04338e-03	4.25602	5.17470	4.36970e-05
3.59033e+01	1.58754e-02	8.52673e-04	3.02874	1.87831	4.36970e-05
3.62735e+01	1.58743e-02	1.56483e-03	1.67715	5.59689	4.36970e-05
3.66436e+01	1.58691e-02	2.05664e-03	2.45645	1.54983	4.36970e-05
3.70137e+01	1.58743e-02	6.76877e-04	3.38617	4.28087	4.36970e-05
3.73839e+01	1.58748e-02	2.13736e-03	5.33008	0.35863	4.36970e-05
3.77540e+01	1.58707e-02	8.10736e-04	1.92251	2.46895	4.36970e-05
3.81241e+01	1.58745e-02	2.12275e-03	5.40008	4.57205	4.36970e-05
3.84943e+01	1.58741e-02	6.37208e-04	3.49870	0.12063	4.36970e-05
3.88644e+01	1.58686e-02	2.01169e-03	2.56475	1.61715	4.36970e-05
3.92346e+01	1.58733e-02	1.51109e-03	1.76813	3.60427	4.36970e-05
3.96047e+01	1.58745e-02	7.79291e-04	3.17638	4.05639	4.36970e-05
3.99748e+01	1.58737e-02	1.95848e-03	4.34334	5.32862	4.36970e-05
4.03450e+01	1.58741e-02	1.42106e-03	6.06669	0.38192	4.36970e-05
4.07151e+01	1.58739e-02	7.94861e-04	3.70707	0.13553	4.36970e-05
4.10852e+01	1.58701e-02	1.89909e-03	0.99768	0.85336	4.36970e-05
4.14554e+01	1.58688e-02	1.60671e-03	5.22404	1.57478	4.36970e-05
4.18255e+01	1.58730e-02	6.75519e-04	4.89445	1.13512	4.36970e-05
4.21957e+01	1.58708e-02	7.98001e-04	5.04873	0.81948	4.36970e-05
4.25658e+01	1.58739e-02	1.74331e-03	5.87947	0.43172	4.36970e-05
4.29359e+01	1.58695e-02	1.86123e-03	1.06214	0.01107	4.36970e-05
4.33061e+01	1.58697e-02	1.82298e-03	3.18126	5.86331	4.36970e-05
4.36762e+01	1.58704e-02	1.68106e-03	6.23097	5.05538	4.36970e-05
4.40463e+01	1.58675e-02	1.63213e-03	3.83523	4.00498	4.36970e-05
4.44165e+01	1.58702e-02	1.48048e-03	2.34386	2.64242	4.36970e-05
4.47866e+01	1.58727e-02	1.40286e-03	1.49798	1.22418	4.36970e-05
4.51568e+01	1.58723e-02	1.37345e-03	1.58216	5.79017	4.36970e-05
4.55269e+01	1.58696e-02	1.48514e-03	2.48967	3.79075	4.36970e-05
4.58970e+01	1.58670e-02	1.61828e-03	4.02824	1.74396	4.36970e-05
4.62672e+01	1.58705e-02	1.66676e-03	0.16473	5.67907	4.36970e-05
4.66373e+01	1.58689e-02	1.80370e-03	3.53796	2.95670	4.36970e-05
4.70074e+01	1.58679e-02	1.78186e-03	1.42504	0.05551	4.36970e-05
4.73776e+01	1.58729e-02	1.66249e-03	6.19169	3.37178	4.36970e-05
4.77477e+01	1.58690e-02	6.80063e-04	5.28832	0.36373	4.36970e-05
4.81179e+01	1.58711e-02	6.14637e-04	4.97256	3.61995	4.36970e-05
4.84880e+01	1.58672e-02	1.51697e-03	5.16905	0.64849	4.36970e-05
4.88581e+01	1.58688e-02	1.77465e-03	0.83268	2.81800	4.36970e-05
4.92283e+01	1.58723e-02	6.19863e-04	3.29860	4.98784	4.36970e-05
4.95984e+01	1.58682e-02	9.29840e-04	5.30141	1.89760	4.36970e-05
4.99685e+01	1.58699e-02	1.63648e-03	2.78964	3.88020	4.36970e-05
5.03387e+01	1.58686e-02	1.28023e-03	1.44694	5.25059	4.36970e-05
5.07088e+01	1.58710e-02	1.19853e-03	5.83119	1.49321	4.36970e-05
5.10790e+01	1.58709e-02	1.87484e-03	5.94482	2.51348	4.36970e-05
5.14491e+01	1.58663e-02	4.90436e-04	0.20216	3.65732	4.36970e-05
5.18192e+01	1.58701e-02	1.63923e-03	0.54209	5.54986	4.36970e-05
5.21894e+01	1.58714e-02	5.99788e-04	3.08625	5.78520	4.36970e-05
5.25595e+01	1.58658e-02	1.45411e-03	4.73222	1.22200	4.36970e-05
5.29296e+01	1.58703e-02	6.71682e-04	2.46560	1.07111	4.36970e-05
5.32998e+01	1.58669e-02	1.44113e-03	5.64148	2.30021	4.36970e-05
5.36699e+01	1.58694e-02	6.50930e-04	4.84802	1.75474	4.36970e-05
5.40400e+01	1.58672e-02	1.67281e-03	3.32492	2.47450	4.36970e-05
5.44102e+01	1.58703e-02	3.77095e-04	3.41713	2.15693	4.36970e-05
5.47803e+01	1.58673e-02	1.60252e-03	3.98734	1.85103	4.36970e-05
5.51505e+01	1.58651e-02	1.43025e-03	4.56911	2.06337	4.36970e-05
5.55206e+01	1.58654e-02	4.79805e-04	1.09393	0.57892	4.36970e-05
5.58907e+01	1.58657e-02	1.68248e-03	3.47794	0.04522	4.36970e-05
5.62609e+01	1.58679e-02	1.49040e-03	0.02873	5.91266	4.36970e-05
5.66310e+01	1.58705e-02	4.09473e-04	4.69563	4.14432	4.36970e-05
5.70011e+01	1.58705e-02	5.43670e-04	3.46853	2.50931	4.36970e-05
5.73713e+01	1.58647e-02	1.68523e-03	2.23114	1.40263	4.36970e-05
5.77414e+01	1.58705e-02	1.58264e-03	1.43341	0.37433	4.36970e-05
5.81116e+01	1.58682e-02	1.25343e-03	1.99212	4.83294	4.36970e-05
5.84817e+01	1.58700e-02	3.04303e-04	3.91573	2.11360	4.36970e-05
5.88518e+01	1.58658e-02	4.68292e-04	5.92387	6.10665	4.36970e-05
5.92220e+01	1.58681e-02	6.88437e-04	2.28628	3.69009	4.36970e-05
5.95921e+01	1.58697e-02	1.45654e-03	5.49964	1.21345	4.36970e-05
5.99622e+01	1.58645e-02	1.65315e-03	3.09977	4.90205	4.36970e-05
6.03324e+01	1.58650e-02	1.60366e-03	1.46723	2.00224	4.36970e-05
6.07025e+01	1.58674e-02	1.65981e-03	0.42082	5.30358	4.36970e-05
6.10727e+01	1.58680e-02	1.69531e-03	0.12505	2.07334	4.36970e-05
