# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
1.12522e+02	3.83726e-02	2.26285e-02	0.90475	5.70181	3.47100e-05
1.12892e+02	3.83735e-02	2.27559e-02	3.15560	0.13385	3.47100e-05
1.13262e+02	3.83854e-02	2.27017e-02	5.52453	0.71579	3.47100e-05
1.13632e+02	3.83692e-02	2.26174e-02	1.74573	1.15772	3.47100e-05
1.14002e+02	3.83691e-02	2.26244e-02	4.36578	1.47858	3.47100e-05
1.14372e+02	3.84100e-02	2.28030e-02	0.79762	1.70055	3.47100e-05
1.14743e+02	3.83804e-02	2.21551e-02	3.64607	1.79996	3.47100e-05
1.15113e+02	3.83745e-02	2.24352e-02	0.36330	1.72773	3.47100e-05
1.15483e+02	3.83928e-02	2.21268e-02	3.50848	1.50637	3.47100e-05
1.15853e+02	3.83733e-02	2.23233e-02	0.47773	1.17380	3.47100e-05
1.16223e+02	3.83859e-02	2.23555e-02	3.87391	0.69344	3.47100e-05
1.16593e+02	3.83926e-02	2.27049e-02	1.09493	0.11095	3.47100e-05
1.16963e+02	3.83877e-02	2.23697e-02	4.77121	5.62330	3.47100e-05
1.17334e+02	3.83888e-02	2.23075e-02	2.21143	4.80014	3.47100e-05
1.17704e+02	3.84147e-02	2.25965e-02	6.07471	3.83640	3.47100e-05
1.18074e+02	3.83815e-02	2.19702e-02	3.77912	2.74215	3.47100e-05
1.18444e+02	3.83699e-02	2.22309e-02	1.64486	1.49143	3.47100e-05
1.18814e+02	3.83874e-02	2.24957e-02	5.91943	0.09906	3.47100e-05
1.19184e+02	3.83911e-02	2.21774e-02	4.03727	4.85954	3.47100e-05
1.19554e+02	3.83891e-02	2.21666e-02	2.23605	3.24984	3.47100e-05
1.19924e+02	3.83736e-02	2.21359e-02	0.60714	1.46401	3.47100e-05
1.20295e+02	3.83867e-02	2.23144e-02	5.38192	5.84771	3.47100e-05
1.20665e+02	3.83805e-02	2.22238e-02	3.98775	3.81755	3.47100e-05
1.21035e+02	3.83757e-02	2.22019e-02	2.71160	1.66390	3.47100e-05
