# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.77603e+01	4.65334e-02	1.94519e-02	5.13025	3.89444	4.41310e-05
2.81304e+01	4.65501e-02	1.88964e-02	3.56893	5.22722	4.41310e-05
2.85006e+01	4.65338e-02	1.89896e-02	2.20537	0.06081	4.41310e-05
2.88707e+01	4.65462e-02	1.91776e-02	1.06029	0.92425	4.41310e-05
2.92408e+01	4.65507e-02	1.95316e-02	0.06387	1.60943	4.41310e-05
2.96110e+01	4.65504e-02	1.92321e-02	5.52606	2.09147	4.41310e-05
2.99811e+01	4.65599e-02	1.91508e-02	4.95929	2.29283	4.41310e-05
3.03513e+01	4.65404e-02	1.88598e-02	4.49500	2.36835	4.41310e-05
3.07214e+01	4.65313e-02	1.89304e-02	4.20578	2.23253	4.41310e-05
3.10915e+01	4.65327e-02	1.88207e-02	4.17423	1.81154	4.41310e-05
3.14617e+01	4.65252e-02	1.89085e-02	4.25508	1.24609	4.41310e-05
3.18318e+01	4.65544e-02	1.85998e-02	4.54298	0.44441	4.41310e-05
3.22019e+01	4.65530e-02	1.89004e-02	5.05310	5.68499	4.41310e-05
3.25721e+01	4.65385e-02	1.89209e-02	5.66074	4.50298	4.41310e-05
3.29422e+01	4.65683e-02	1.92323e-02	0.16933	3.10664	4.41310e-05
3.33124e+01	4.65478e-02	1.86052e-02	1.20089	1.44213	4.41310e-05
3.36825e+01	4.65203e-02	1.87456e-02	2.37000	5.89077	4.41310e-05
3.40526e+01	4.65508e-02	1.81017e-02	3.75317	3.82109	4.41310e-05
3.44228e+01	4.65330e-02	1.86268e-02	5.24533	1.60108	4.41310e-05
3.47929e+01	4.65372e-02	1.83905e-02	0.63305	5.45368	4.41310e-05
3.51630e+01	4.65230e-02	1.86255e-02	2.54768	2.74972	4.41310e-05
3.55332e+01	4.65574e-02	1.82130e-02	4.57156	6.18627	4.41310e-05
3.59033e+01	4.65482e-02	1.83646e-02	0.51853	3.11213	4.41310e-05
3.62735e+01	4.65475e-02	1.80844e-02	2.87212	6.15435	4.41310e-05
3.66436e+01	4.65521e-02	1.83858e-02	5.48092	2.62832	4.41310e-05
3.70137e+01	4.65464e-02	1.82221e-02	1.86692	5.28991	4.41310e-05
3.73839e+01	4.65677e-02	1.82307e-02	4.83662	1.33784	4.41310e-05
3.77540e+01	4.65297e-02	1.82560e-02	1.56597	3.59909	4.41310e-05
3.81241e+01	4.65675e-02	1.81786e-02	4.85113	5.54893	4.41310e-05
3.84943e+01	4.65473e-02	1.80578e-02	1.88499	1.14745	4.41310e-05
3.88644e+01	4.65531e-02	1.81774e-02	5.50199	2.69855	4.41310e-05
3.92346e+01	4.65489e-02	1.77676e-02	2.89074	4.15879	4.41310e-05
3.96047e+01	4.65470e-02	1.79593e-02	0.53974	5.33618	4.41310e-05
3.99748e+01	4.65595e-02	1.77763e-02	4.58712	0.07032	4.41310e-05
4.03450e+01	4.65237e-02	1.81053e-02	2.54112	0.86594	4.41310e-05
4.07151e+01	4.65403e-02	1.78195e-02	0.59037	1.53069	4.41310e-05
4.10852e+01	4.65348e-02	1.79989e-02	5.16401	1.92203	4.41310e-05
4.14554e+01	4.65463e-02	1.74019e-02	3.61743	2.12380	4.41310e-05
4.18255e+01	4.65375e-02	1.76617e-02	2.17254	2.18007	4.41310e-05
4.21957e+01	4.65432e-02	1.77444e-02	0.94293	1.98721	4.41310e-05
4.25658e+01	4.65443e-02	1.77449e-02	6.09436	1.66037	4.41310e-05
4.29359e+01	4.65350e-02	1.78188e-02	5.17477	1.08887	4.41310e-05
4.33061e+01	4.65445e-02	1.73941e-02	4.43562	0.30995	4.41310e-05
4.36762e+01	4.65570e-02	1.72772e-02	3.78267	5.68264	4.41310e-05
4.40463e+01	4.65440e-02	1.74110e-02	3.33519	4.53310	4.41310e-05
4.44165e+01	4.65378e-02	1.72557e-02	3.01082	3.22452	4.41310e-05
4.47866e+01	4.65479e-02	1.73029e-02	2.84730	1.71970	4.41310e-05
4.51568e+01	4.65507e-02	1.71936e-02	2.88898	6.26655	4.41310e-05
4.55269e+01	4.65375e-02	1.71667e-02	3.04173	4.37464	4.41310e-05
4.58970e+01	4.65455e-02	1.72340e-02	3.34806	2.29328	4.41310e-05
4.62672e+01	4.65520e-02	1.71767e-02	3.85606	6.25828	4.41310e-05
4.66373e+01	4.65505e-02	1.70778e-02	4.49498	3.77350	4.41310e-05
4.70074e+01	4.65462e-02	1.73826e-02	5.22668	1.16672	4.41310e-05
4.73776e+01	4.65394e-02	1.74062e-02	6.18089	4.57730	4.41310e-05
4.77477e+01	4.65467e-02	1.72761e-02	0.98899	1.53193	4.41310e-05
4.81179e+01	4.65396e-02	1.70018e-02	2.17901	4.63312	4.41310e-05
4.84880e+01	4.65546e-02	1.68474e-02	3.57679	1.20850	4.41310e-05
4.88581e+01	4.65375e-02	1.73377e-02	5.13278	3.88149	4.41310e-05
4.92283e+01	4.65487e-02	1.70948e-02	0.54498	0.08647	4.41310e-05
4.95984e+01	4.65238e-02	1.71308e-02	2.35234	2.42409	4.41310e-05
4.99685e+01	4.65398e-02	1.69641e-02	4.32407	4.56245	4.41310e-05
5.03387e+01	4.65606e-02	1.75711e-02	0.19052	0.20351	4.41310e-05
5.07088e+01	4.65253e-02	1.71892e-02	2.50592	1.93346	4.41310e-05
5.10790e+01	4.65647e-02	1.71191e-02	4.95845	3.48186	4.41310e-05
5.14491e+01	4.65525e-02	1.69965e-02	1.15373	4.96389	4.41310e-05
5.18192e+01	4.65530e-02	1.67590e-02	3.90922	6.13501	4.41310e-05
5.21894e+01	4.65410e-02	1.69713e-02	0.48601	0.88091	4.41310e-05
5.25595e+01	4.65496e-02	1.66156e-02	3.52430	1.70290	4.41310e-05
5.29296e+01	4.65641e-02	1.70926e-02	0.39147	2.36810	4.41310e-05
5.32998e+01	4.65533e-02	1.63526e-02	3.71326	2.82360	4.41310e-05
5.36699e+01	4.65423e-02	1.67827e-02	0.81498	3.17705	4.41310e-05
5.40400e+01	4.65474e-02	1.65723e-02	4.41153	3.28389	4.41310e-05
5.44102e+01	4.65499e-02	1.67073e-02	1.85938	3.22741	4.41310e-05
5.47803e+01	4.65394e-02	1.68425e-02	5.75144	2.96394	4.41310e-05
5.51505e+01	4.65491e-02	1.64441e-02	3.49502	2.52752	4.41310e-05
5.55206e+01	4.65467e-02	1.65438e-02	1.36983	1.92312	4.41310e-05
5.58907e+01	4.65566e-02	1.67818e-02	5.68392	1.12522	4.41310e-05
5.62609e+01	4.65554e-02	1.61927e-02	3.85336	0.15922	4.41310e-05
5.66310e+01	4.65511e-02	1.62678e-02	2.06739	5.38373	4.41310e-05
5.70011e+01	4.65498e-02	1.65588e-02	0.50385	4.06697	4.41310e-05
5.73713e+01	4.65526e-02	1.66006e-02	5.38281	2.55314	4.41310e-05
5.77414e+01	4.65402e-02	1.65124e-02	4.08918	0.89106	4.41310e-05
5.81116e+01	4.65548e-02	1.61484e-02	2.94629	5.33181	4.41310e-05
5.84817e+01	4.65524e-02	1.63340e-02	1.93156	3.31515	4.41310e-05
5.88518e+01	4.65419e-02	1.65212e-02	1.07526	1.10187	4.41310e-05
5.92220e+01	4.65569e-02	1.67482e-02	0.33279	5.02050	4.41310e-05
5.95921e+01	4.65334e-02	1.63052e-02	6.02931	2.46177	4.41310e-05
5.99622e+01	4.65459e-02	1.65352e-02	5.57839	6.02153	4.41310e-05
6.03324e+01	4.65385e-02	1.64111e-02	5.24556	3.13315	4.41310e-05
6.07025e+01	4.65441e-02	1.65000e-02	5.05914	0.06048	4.41310e-05
6.10727e+01	4.65481e-02	1.64974e-02	5.00729	3.09818	4.41310e-05
6.14428e+01	4.65430e-02	1.64314e-02	5.07800	5.97512	4.41310e-05
6.18129e+01	4.65395e-02	1.62977e-02	5.29531	2.39262	4.41310e-05
6.21831e+01	4.65455e-02	1.63844e-02	5.64290	4.91660	4.41310e-05
6.25532e+01	4.65385e-02	1.61819e-02	6.12558	0.98374	4.41310e-05
6.29233e+01	4.65481e-02	1.62888e-02	0.43781	3.18385	4.41310e-05
6.32935e+01	4.65433e-02	1.61734e-02	1.18480	5.19339	4.41310e-05
6.36636e+01	4.65500e-02	1.59124e-02	2.06188	0.76062	4.41310e-05
6.40338e+01	4.65554e-02	1.57535e-02	3.07291	2.42997	4.41310e-05
6.44039e+01	4.65384e-02	1.60287e-02	4.20366	3.94136	4.41310e-05
6.47740e+01	4.65574e-02	1.61615e-02	5.48949	5.25924	4.41310e-05
6.51442e+01	4.65457e-02	1.59177e-02	0.59005	0.15779	4.41310e-05
6.55143e+01	4.65476e-02	1.56905e-02	2.13132	1.15255	4.41310e-05
6.58844e+01	4.65571e-02	1.55539e-02	3.87137	1.90326	4.41310e-05
6.62546e+01	4.65597e-02	1.60802e-02	5.65859	2.56679	4.41310e-05
6.66247e+01	4.65530e-02	1.58123e-02	1.27328	3.08061	4.41310e-05
6.69949e+01	4.65492e-02	1.56934e-02	3.33528	3.40079	4.41310e-05
6.73650e+01	4.65470e-02	1.60177e-02	5.50888	3.56294	4.41310e-05
6.77351e+01	4.65358e-02	1.58823e-02	1.52731	3.55798	4.41310e-05
6.81053e+01	4.65531e-02	1.56938e-02	3.95614	3.38818	4.41310e-05
6.84754e+01	4.65756e-02	1.63090e-02	0.20700	3.07377	4.41310e-05
6.88455e+01	4.65425e-02	1.54796e-02	2.92823	2.54355	4.41310e-05
6.92157e+01	4.65549e-02	1.58216e-02	5.79141	1.82528	4.41310e-05
6.95858e+01	4.65304e-02	1.58230e-02	2.45381	0.98420	4.41310e-05
6.99560e+01	4.65474e-02	1.58576e-02	5.50006	0.00436	4.41310e-05
7.03261e+01	4.65264e-02	1.58609e-02	2.41021	5.12226	4.41310e-05
7.06962e+01	4.65548e-02	1.57943e-02	5.71317	3.81726	4.41310e-05
7.10664e+01	4.65421e-02	1.53773e-02	2.88026	2.31822	4.41310e-05
7.14365e+01	4.65770e-02	1.60843e-02	0.20852	0.62086	4.41310e-05
7.18066e+01	4.65549e-02	1.54297e-02	3.90831	5.07821	4.41310e-05
7.21768e+01	4.65380e-02	1.55691e-02	1.41989	3.11905	4.41310e-05
7.25469e+01	4.65553e-02	1.56146e-02	5.35727	0.98734	4.41310e-05
7.29171e+01	4.65398e-02	1.52818e-02	3.16115	4.94316	4.41310e-05
7.32872e+01	4.65559e-02	1.55124e-02	1.07863	2.46334	4.41310e-05
7.36573e+01	4.65448e-02	1.55830e-02	5.38162	6.12529	4.41310e-05
7.40275e+01	4.65575e-02	1.51456e-02	3.51288	3.35386	4.41310e-05
7.43976e+01	4.65589e-02	1.53620e-02	1.75946	0.43711	4.41310e-05
7.47677e+01	4.65778e-02	1.58884e-02	0.22764	3.53758	4.41310e-05
7.51379e+01	4.65504e-02	1.56262e-02	5.02022	0.27286	4.41310e-05
7.55080e+01	4.65631e-02	1.49833e-02	3.63715	3.14485	4.41310e-05
7.58782e+01	4.65265e-02	1.54256e-02	2.39388	5.83914	4.41310e-05
7.62483e+01	4.65540e-02	1.52337e-02	1.31056	2.06204	4.41310e-05
7.66184e+01	4.65641e-02	1.57502e-02	0.28600	4.46052	4.41310e-05
7.69886e+01	4.65578e-02	1.54555e-02	5.67831	0.40368	4.41310e-05
7.73587e+01	4.65684e-02	1.54027e-02	4.99622	2.38526	4.41310e-05
