# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.77603e+01	1.16003e-02	4.39684e-04	0.72682	5.01910	4.59020e-05
2.81304e+01	1.16005e-02	5.97189e-04	4.34483	2.89174	4.59020e-05
2.85006e+01	1.16018e-02	5.20242e-04	4.60816	5.47251	4.59020e-05
2.88707e+01	1.16003e-02	7.28516e-04	1.38246	0.18286	4.59020e-05
2.92408e+01	1.16004e-02	2.64680e-04	4.22712	2.66148	4.59020e-05
2.96110e+01	1.16003e-02	4.49558e-04	3.84569	3.34660	4.59020e-05
2.99811e+01	1.15992e-02	3.94351e-04	5.23583	3.51937	4.59020e-05
3.03513e+01	1.16026e-02	1.72586e-04	0.86689	4.49014	4.59020e-05
3.07214e+01	1.15998e-02	4.22782e-04	3.26476	6.15612	4.59020e-05
3.10915e+01	1.15991e-02	4.66742e-04	2.68133	5.75998	4.59020e-05
3.14617e+01	1.16000e-02	3.87644e-04	3.53745	5.15934	4.59020e-05
3.18318e+01	1.16009e-02	2.23478e-04	2.03083	1.86596	4.59020e-05
3.22019e+01	1.15990e-02	4.23892e-04	6.07523	0.59885	4.59020e-05
3.25721e+01	1.15996e-02	4.41810e-04	4.79498	5.80444	4.59020e-05
3.29422e+01	1.16024e-02	3.20046e-04	6.15933	3.29468	4.59020e-05
3.33124e+01	1.15997e-02	7.20122e-04	2.47816	0.75348	4.59020e-05
3.36825e+01	1.16025e-02	4.36440e-04	0.15285	4.34065	4.59020e-05
3.40526e+01	1.15990e-02	5.76689e-04	5.50497	1.51524	4.59020e-05
3.44228e+01	1.15990e-02	4.67012e-04	1.59755	2.78676	4.59020e-05
3.47929e+01	1.15982e-02	6.36574e-04	4.54518	4.67127	4.59020e-05
3.51630e+01	1.15991e-02	4.00576e-04	2.18356	0.47843	4.59020e-05
3.55332e+01	1.15996e-02	2.64494e-04	2.34018	1.22513	4.59020e-05
3.59033e+01	1.15983e-02	6.08189e-04	3.34410	2.36250	4.59020e-05
3.62735e+01	1.15980e-02	5.02113e-04	5.23682	3.70655	4.59020e-05
3.66436e+01	1.15988e-02	4.73095e-04	3.11964	3.93668	4.59020e-05
3.70137e+01	1.15977e-02	6.36181e-04	1.66925	4.65359	4.59020e-05
3.73839e+01	1.15976e-02	3.90395e-04	4.12075	2.61652	4.59020e-05
3.77540e+01	1.15984e-02	7.05278e-04	5.35694	3.00978	4.59020e-05
3.81241e+01	1.15975e-02	3.94668e-04	4.23399	0.54812	4.59020e-05
3.84943e+01	1.15974e-02	6.30671e-04	1.82069	0.51178	4.59020e-05
3.88644e+01	1.15984e-02	4.76857e-04	3.27513	4.01997	4.59020e-05
3.92346e+01	1.15975e-02	5.03812e-04	5.41177	1.68762	4.59020e-05
3.96047e+01	1.15974e-02	6.07010e-04	3.49846	4.59385	4.59020e-05
3.99748e+01	1.15984e-02	2.89913e-04	2.47160	1.37755	4.59020e-05
4.03450e+01	1.15981e-02	3.90866e-04	2.13270	4.86715	4.59020e-05
4.07151e+01	1.15970e-02	6.16727e-04	4.21987	0.75392	4.59020e-05
4.10852e+01	1.15975e-02	4.71401e-04	0.93196	3.11841	4.59020e-05
4.14554e+01	1.15976e-02	5.84808e-04	4.51648	6.05937	4.59020e-05
4.18255e+01	1.15981e-02	5.13946e-04	4.08460	1.47512	4.59020e-05
4.21957e+01	1.15972e-02	6.69628e-04	0.37941	1.25176	4.59020e-05
4.25658e+01	1.15965e-02	3.79765e-04	2.12907	2.94140	4.59020e-05
4.29359e+01	1.15972e-02	4.75782e-04	1.01382	2.29259	4.59020e-05
4.33061e+01	1.16006e-02	2.41451e-04	5.71247	3.25775	4.59020e-05
4.36762e+01	1.15969e-02	5.50877e-04	6.04291	3.31009	4.59020e-05
4.40463e+01	1.15974e-02	5.76322e-04	2.41405	2.10541	4.59020e-05
4.44165e+01	1.15968e-02	5.20398e-04	0.03071	0.71826	4.59020e-05
4.47866e+01	1.15963e-02	4.93146e-04	5.07816	5.52579	4.59020e-05
4.51568e+01	1.15962e-02	4.89540e-04	5.21624	3.80022	4.59020e-05
4.55269e+01	1.15966e-02	5.26231e-04	0.26153	1.86657	4.59020e-05
4.58970e+01	1.15970e-02	5.79201e-04	2.73172	6.12064	4.59020e-05
4.62672e+01	1.15963e-02	5.35299e-04	0.17167	3.88207	4.59020e-05
4.66373e+01	1.15999e-02	2.28635e-04	0.38729	6.18881	4.59020e-05
4.70074e+01	1.15965e-02	4.86937e-04	1.53920	2.38123	4.59020e-05
4.73776e+01	1.15957e-02	3.75984e-04	2.60842	5.90083	4.59020e-05
4.77477e+01	1.15962e-02	6.68599e-04	0.74844	0.80995	4.59020e-05
4.81179e+01	1.15973e-02	4.87380e-04	4.32966	3.86826	4.59020e-05
4.84880e+01	1.15964e-02	5.80691e-04	4.48949	5.08369	4.59020e-05
4.88581e+01	1.15960e-02	4.78012e-04	0.64604	5.10486	4.59020e-05
4.92283e+01	1.15956e-02	5.88067e-04	3.50908	5.64550	4.59020e-05
4.95984e+01	1.15994e-02	4.12340e-04	0.15059	0.85063	4.59020e-05
4.99685e+01	1.15981e-02	2.76531e-04	4.69425	1.72489	4.59020e-05
5.03387e+01	1.15989e-02	3.17121e-04	5.98081	0.57364	4.59020e-05
5.07088e+01	1.15967e-02	3.59812e-04	1.74413	6.01087	4.59020e-05
5.10790e+01	1.15950e-02	4.30120e-04	5.07059	4.81175	4.59020e-05
5.14491e+01	1.15961e-02	6.82486e-04	2.45200	4.26459	4.59020e-05
5.18192e+01	1.15950e-02	5.07954e-04	0.82140	3.71668	4.59020e-05
5.21894e+01	1.15952e-02	5.69597e-04	3.20396	0.13863	4.59020e-05
5.25595e+01	1.15957e-02	5.85885e-04	3.90950	5.57101	4.59020e-05
5.29296e+01	1.15963e-02	4.77167e-04	2.21934	1.73944	4.59020e-05
5.32998e+01	1.15954e-02	5.70290e-04	5.23428	0.45986	4.59020e-05
5.36699e+01	1.15948e-02	6.22493e-04	5.98243	2.41610	4.59020e-05
5.40400e+01	1.15989e-02	2.53527e-04	6.11393	5.95608	4.59020e-05
5.44102e+01	1.15945e-02	6.04541e-04	1.58115	2.62629	4.59020e-05
5.47803e+01	1.15952e-02	4.65369e-04	5.44051	4.36149	4.59020e-05
5.51505e+01	1.15953e-02	5.84488e-04	3.68648	0.10090	4.59020e-05
5.55206e+01	1.15954e-02	6.80191e-04	3.67092	1.33821	4.59020e-05
5.58907e+01	1.15952e-02	4.89086e-04	4.64664	2.53472	4.59020e-05
5.62609e+01	1.15946e-02	5.40560e-04	0.01527	4.07121	4.59020e-05
5.66310e+01	1.15946e-02	5.50595e-04	3.38910	4.76039	4.59020e-05
5.70011e+01	1.15942e-02	5.70705e-04	3.56929	3.29958	4.59020e-05
5.73713e+01	1.15950e-02	5.01829e-04	2.66993	3.85792	4.59020e-05
5.77414e+01	1.15939e-02	4.71028e-04	2.41217	4.70905	4.59020e-05
5.81116e+01	1.15942e-02	5.09629e-04	5.92658	2.78801	4.59020e-05
5.84817e+01	1.15938e-02	5.89983e-04	2.17106	2.71413	4.59020e-05
5.88518e+01	1.15946e-02	6.60362e-04	1.56806	0.41178	4.59020e-05
5.92220e+01	1.15960e-02	4.32068e-04	1.76427	4.51547	4.59020e-05
5.95921e+01	1.15936e-02	4.09415e-04	1.37245	3.84515	4.59020e-05
5.99622e+01	1.15946e-02	4.95198e-04	4.03643	1.10389	4.59020e-05
6.03324e+01	1.15942e-02	5.04313e-04	1.50368	4.40401	4.59020e-05
6.07025e+01	1.15939e-02	4.77376e-04	6.26089	1.32507	4.59020e-05
6.10727e+01	1.15936e-02	4.63227e-04	5.78812	4.38403	4.59020e-05
6.14428e+01	1.15938e-02	4.82191e-04	0.14449	0.95215	4.59020e-05
6.18129e+01	1.15941e-02	5.08436e-04	1.87715	3.68134	4.59020e-05
6.21831e+01	1.15942e-02	4.91694e-04	4.54622	0.02108	4.59020e-05
6.25532e+01	1.15930e-02	4.03947e-04	2.11640	2.35698	4.59020e-05
6.29233e+01	1.15938e-02	5.26649e-04	2.80165	2.47015	4.59020e-05
6.32935e+01	1.15942e-02	6.60784e-04	2.41407	4.54875	4.59020e-05
6.36636e+01	1.15933e-02	5.49375e-04	3.15702	0.17096	4.59020e-05
6.40338e+01	1.15936e-02	5.39621e-04	0.63031	6.16096	4.59020e-05
6.44039e+01	1.15936e-02	4.04173e-04	3.41694	1.43827	4.59020e-05
6.47740e+01	1.15938e-02	5.07722e-04	3.46957	0.32819	4.59020e-05
6.51442e+01	1.15928e-02	5.76931e-04	4.20570	5.69568	4.59020e-05
6.55143e+01	1.15937e-02	4.99114e-04	3.88638	0.49808	4.59020e-05
6.58844e+01	1.15930e-02	5.32829e-04	0.15535	5.79686	4.59020e-05
6.62546e+01	1.15935e-02	5.03516e-04	4.39563	3.99409	4.59020e-05
6.66247e+01	1.15937e-02	6.60094e-04	2.93649	2.47414	4.59020e-05
6.69949e+01	1.15935e-02	5.69030e-04	2.43916	0.92578	4.59020e-05
6.73650e+01	1.15934e-02	5.07519e-04	3.46771	4.92755	4.59020e-05
6.77351e+01	1.15931e-02	6.64838e-04	4.98411	3.01789	4.59020e-05
6.81053e+01	1.15922e-02	4.93737e-04	1.26371	0.91899	4.59020e-05
6.84754e+01	1.15965e-02	3.59431e-04	0.31849	3.18178	4.59020e-05
6.88455e+01	1.15924e-02	4.99223e-04	5.75988	6.26195	4.59020e-05
6.92157e+01	1.15929e-02	4.83770e-04	5.47807	3.27900	4.59020e-05
6.95858e+01	1.15949e-02	3.38146e-04	1.00295	5.33549	4.59020e-05
6.99560e+01	1.15930e-02	5.10574e-04	3.39463	1.37089	4.59020e-05
7.03261e+01	1.15952e-02	3.44780e-04	0.75590	3.27796	4.59020e-05
7.06962e+01	1.15927e-02	4.93864e-04	5.26940	5.22578	4.59020e-05
7.10664e+01	1.15920e-02	4.91022e-04	5.39898	6.04145	4.59020e-05
7.14365e+01	1.15953e-02	2.97286e-04	5.75236	1.18539	4.59020e-05
7.18066e+01	1.15918e-02	5.10929e-04	0.62651	2.63993	4.59020e-05
7.21768e+01	1.15926e-02	6.66731e-04	4.14356	2.56509	4.59020e-05
7.25469e+01	1.15926e-02	5.16331e-04	2.45411	2.31104	4.59020e-05
7.29171e+01	1.15924e-02	5.43371e-04	1.17231	2.40573	4.59020e-05
7.32872e+01	1.15923e-02	6.48196e-04	1.42088	1.79335	4.59020e-05
7.36573e+01	1.15924e-02	5.18889e-04	2.49163	1.17932	4.59020e-05
7.40275e+01	1.15923e-02	5.75521e-04	4.06541	0.88056	4.59020e-05
7.43976e+01	1.15914e-02	5.90280e-04	0.97609	6.13061	4.59020e-05
7.47677e+01	1.15952e-02	3.19569e-04	6.04303	3.96923	4.59020e-05
7.51379e+01	1.15915e-02	4.77995e-04	5.86221	1.58417	4.59020e-05
7.55080e+01	1.15919e-02	5.67081e-04	4.98989	0.70100	4.59020e-05
7.58782e+01	1.15944e-02	3.46044e-04	0.76188	3.98039	4.59020e-05
7.62483e+01	1.15923e-02	6.52075e-04	3.18824	1.48071	4.59020e-05
7.66184e+01	1.15946e-02	3.82876e-04	1.04440	4.28399	4.59020e-05
7.69886e+01	1.15918e-02	5.04699e-04	4.97235	1.81716	4.59020e-05
7.73587e+01	1.15909e-02	4.60263e-04	5.28012	3.76898	4.59020e-05
7.77288e+01	1.15925e-02	3.31310e-04	4.11548	1.70802	4.59020e-05
7.80990e+01	1.15913e-02	5.39842e-04	6.09679	3.64684	4.59020e-05
7.84691e+01	1.15918e-02	5.64971e-04	2.92581	5.17828	4.59020e-05
