# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.77603e+01	6.10860e-02	1.08562e-02	2.36108	0.73823	1.08910e-05
2.81304e+01	6.11145e-02	1.14104e-02	5.60097	1.97665	1.08910e-05
2.85006e+01	6.10711e-02	1.09485e-02	2.53945	3.14786	1.08910e-05
2.88707e+01	6.10900e-02	1.10534e-02	5.95268	4.03281	1.08910e-05
2.92408e+01	6.10872e-02	1.06593e-02	3.19717	4.71360	1.08910e-05
2.96110e+01	6.10885e-02	1.09431e-02	0.56335	5.18330	1.08910e-05
2.99811e+01	6.10758e-02	1.05906e-02	4.33841	5.43652	1.08910e-05
3.03513e+01	6.10883e-02	1.09557e-02	1.91531	5.52089	1.08910e-05
3.07214e+01	6.11011e-02	1.10188e-02	6.01935	5.26712	1.08910e-05
3.10915e+01	6.10884e-02	1.04675e-02	3.84853	4.91455	1.08910e-05
3.14617e+01	6.10822e-02	1.07299e-02	1.78175	4.36778	1.08910e-05
3.18318e+01	6.11210e-02	1.12892e-02	6.20479	3.52614	1.08910e-05
3.22019e+01	6.10901e-02	1.04056e-02	4.42576	2.51805	1.08910e-05
3.25721e+01	6.10822e-02	1.05706e-02	2.72736	1.33467	1.08910e-05
3.29422e+01	6.10754e-02	1.03766e-02	1.20078	6.17383	1.08910e-05
3.33124e+01	6.11023e-02	1.08428e-02	6.04971	4.54644	1.08910e-05
3.36825e+01	6.10785e-02	1.05117e-02	4.76140	2.68499	1.08910e-05
3.40526e+01	6.10549e-02	1.07416e-02	3.53376	0.67821	1.08910e-05
3.44228e+01	6.10849e-02	1.04805e-02	2.44295	4.72275	1.08910e-05
3.47929e+01	6.10903e-02	1.05531e-02	1.49365	2.25388	1.08910e-05
3.51630e+01	6.10874e-02	1.03861e-02	0.61974	5.90334	1.08910e-05
3.55332e+01	6.11227e-02	1.09966e-02	6.21973	2.98990	1.08910e-05
3.59033e+01	6.11262e-02	1.08311e-02	5.63059	6.18110	1.08910e-05
3.62735e+01	6.11324e-02	1.06657e-02	5.18056	2.85638	1.08910e-05
3.66436e+01	6.10911e-02	1.02681e-02	4.71027	5.74493	1.08910e-05
3.70137e+01	6.11174e-02	1.02862e-02	4.49995	2.00251	1.08910e-05
3.73839e+01	6.10651e-02	1.02272e-02	4.22519	4.51727	1.08910e-05
3.77540e+01	6.10960e-02	1.01852e-02	4.24925	0.36823	1.08910e-05
3.81241e+01	6.10676e-02	1.01555e-02	4.23739	2.44239	1.08910e-05
3.84943e+01	6.11185e-02	1.02091e-02	4.51310	4.14196	1.08910e-05
3.88644e+01	6.10934e-02	1.01166e-02	4.72419	5.81560	1.08910e-05
3.92346e+01	6.11346e-02	1.04892e-02	5.19309	0.86078	1.08910e-05
3.96047e+01	6.11302e-02	1.06095e-02	5.64293	2.12445	1.08910e-05
3.99748e+01	6.11259e-02	1.06828e-02	6.22819	3.15957	1.08910e-05
4.03450e+01	6.10936e-02	1.00651e-02	0.61246	4.02296	1.08910e-05
4.07151e+01	6.10917e-02	1.01715e-02	1.47571	4.60246	1.08910e-05
4.10852e+01	6.10963e-02	9.96930e-03	2.38617	5.04631	1.08910e-05
4.14554e+01	6.10652e-02	1.02498e-02	3.46009	5.24505	1.08910e-05
4.18255e+01	6.10945e-02	1.01541e-02	4.65360	5.23044	1.08910e-05
4.21957e+01	6.11030e-02	1.01518e-02	5.86712	5.10630	1.08910e-05
4.25658e+01	6.11230e-02	1.02278e-02	0.91681	4.77597	1.08910e-05
4.29359e+01	6.10973e-02	9.87086e-03	2.39398	4.21247	1.08910e-05
4.33061e+01	6.10813e-02	1.00168e-02	4.00830	3.43116	1.08910e-05
4.36762e+01	6.11156e-02	1.02424e-02	5.72190	2.45634	1.08910e-05
4.40463e+01	6.11140e-02	1.00468e-02	1.13292	1.41230	1.08910e-05
4.44165e+01	6.10691e-02	1.00595e-02	3.08713	0.02209	1.08910e-05
4.47866e+01	6.11417e-02	1.01264e-02	5.17379	4.69473	1.08910e-05
4.51568e+01	6.11038e-02	1.00122e-02	0.86565	3.11319	1.08910e-05
4.55269e+01	6.10706e-02	9.99565e-03	3.10452	1.17611	1.08910e-05
4.58970e+01	6.11260e-02	1.00676e-02	5.46974	5.30832	1.08910e-05
4.62672e+01	6.11358e-02	9.88991e-03	1.43765	3.18329	1.08910e-05
4.66373e+01	6.10778e-02	9.88827e-03	4.03385	0.62785	1.08910e-05
4.70074e+01	6.11063e-02	9.87028e-03	0.38387	4.23621	1.08910e-05
4.73776e+01	6.10826e-02	9.85190e-03	3.07520	1.41045	1.08910e-05
4.77477e+01	6.11076e-02	9.81326e-03	5.90058	4.64754	1.08910e-05
4.81179e+01	6.10883e-02	9.70996e-03	2.53043	1.42696	1.08910e-05
4.84880e+01	6.11350e-02	1.00979e-02	5.61704	4.23001	1.08910e-05
4.88581e+01	6.11069e-02	9.49042e-03	2.36106	0.72729	1.08910e-05
4.92283e+01	6.11398e-02	1.00661e-02	5.64855	3.15619	1.08910e-05
4.95984e+01	6.11115e-02	9.30195e-03	2.62155	5.52993	1.08910e-05
4.99685e+01	6.11349e-02	1.00672e-02	6.10502	1.30729	1.08910e-05
5.03387e+01	6.11173e-02	9.20087e-03	3.31534	3.27154	1.08910e-05
5.07088e+01	6.11093e-02	9.53890e-03	0.57799	5.10298	1.08910e-05
5.10790e+01	6.10959e-02	9.28077e-03	4.33414	0.34864	1.08910e-05
5.14491e+01	6.10978e-02	9.41326e-03	1.86658	1.73338	1.08910e-05
5.18192e+01	6.11108e-02	9.61442e-03	5.80059	2.91386	1.08910e-05
5.21894e+01	6.10925e-02	9.60205e-03	3.53273	3.92744	1.08910e-05
5.25595e+01	6.11212e-02	9.62030e-03	1.25843	4.86605	1.08910e-05
5.29296e+01	6.11337e-02	9.63468e-03	5.55567	5.42645	1.08910e-05
5.32998e+01	6.10741e-02	9.62653e-03	3.51080	5.96094	1.08910e-05
5.36699e+01	6.11196e-02	9.33003e-03	1.59826	6.27739	1.08910e-05
5.40400e+01	6.11447e-02	9.96988e-03	6.15150	0.04293	1.08910e-05
5.44102e+01	6.11349e-02	9.29972e-03	4.50769	6.20998	1.08910e-05
5.47803e+01	6.10964e-02	9.36706e-03	2.80123	6.06448	1.08910e-05
5.51505e+01	6.11228e-02	9.48065e-03	1.24063	5.68880	1.08910e-05
5.55206e+01	6.11278e-02	9.63029e-03	6.14930	5.04326	1.08910e-05
5.58907e+01	6.11185e-02	9.18277e-03	4.86331	4.22396	1.08910e-05
5.62609e+01	6.10814e-02	9.37597e-03	3.59079	3.31248	1.08910e-05
5.66310e+01	6.10858e-02	9.39423e-03	2.48306	2.14619	1.08910e-05
5.70011e+01	6.10980e-02	9.28413e-03	1.44344	0.82741	1.08910e-05
5.73713e+01	6.11213e-02	9.38883e-03	0.47602	5.63590	1.08910e-05
5.77414e+01	6.11154e-02	9.25755e-03	5.94293	3.92554	1.08910e-05
5.81116e+01	6.11501e-02	9.50796e-03	5.23550	2.02858	1.08910e-05
5.84817e+01	6.11359e-02	9.19632e-03	4.55571	0.01423	1.08910e-05
5.88518e+01	6.11180e-02	9.02526e-03	3.93634	4.13857	1.08910e-05
5.92220e+01	6.11178e-02	8.95620e-03	3.43863	1.77463	1.08910e-05
5.95921e+01	6.10832e-02	9.43457e-03	2.98649	5.56361	1.08910e-05
5.99622e+01	6.11124e-02	9.00496e-03	2.66244	2.86450	1.08910e-05
6.03324e+01	6.11103e-02	9.04968e-03	2.44198	6.25623	1.08910e-05
6.07025e+01	6.11271e-02	8.82576e-03	2.29565	3.20748	1.08910e-05
6.10727e+01	6.11346e-02	8.75589e-03	2.24594	6.26200	1.08910e-05
6.14428e+01	6.11254e-02	8.81631e-03	2.31306	2.83364	1.08910e-05
6.18129e+01	6.11107e-02	9.00586e-03	2.47436	5.51692	1.08910e-05
6.21831e+01	6.11122e-02	8.92309e-03	2.71333	1.75109	1.08910e-05
6.25532e+01	6.10911e-02	9.22688e-03	3.04193	4.09600	1.08910e-05
6.29233e+01	6.11085e-02	9.01936e-03	3.50930	6.22077	1.08910e-05
6.32935e+01	6.11218e-02	8.88723e-03	4.01684	1.93863	1.08910e-05
6.36636e+01	6.11281e-02	9.07211e-03	4.61847	3.76913	1.08910e-05
6.40338e+01	6.11462e-02	9.22310e-03	5.30198	5.42915	1.08910e-05
6.44039e+01	6.11345e-02	9.15919e-03	6.03561	0.67364	1.08910e-05
6.47740e+01	6.11251e-02	8.99800e-03	0.54544	2.06084	1.08910e-05
